2022-06-01 09:03:55.499 debug 15384 --- [http-nio-8989-exec-1] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 09:03:55.499 debug 15384 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-01 09:03:55.506 debug 15384 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 7 ms
2022-06-01 09:21:36.479 debug 15384 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-01 16:45:33.548 debug 10408 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 10408 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 16:45:33.552 debug 10408 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 16:45:33.689 debug 10408 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : The Class-Path manifest attribute in D:\maven1\repository\com\mchange\c3p0\0.9.5.5\c3p0-0.9.5.5.jar referenced one or more files that do not exist: file:/D:/maven1/repository/com/mchange/c3p0/0.9.5.5/mchange-commons-java-0.2.19.jar
2022-06-01 16:45:33.689 debug 10408 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-01 16:45:33.689 debug 10408 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-01 16:45:35.026 debug 10408 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 16:45:35.068 debug 10408 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 16:45:35.068 debug 10408 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 16:45:35.135 debug 10408 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 16:45:35.135 debug 10408 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1445 ms
2022-06-01 16:45:35.396 debug 10408 --- [MLog-Init-Reporter] com.mchange.v2.log.MLog                  : MLog clients using slf4j logging.
2022-06-01 16:45:35.426 debug 10408 --- [restartedMain] com.mchange.v2.c3p0.C3P0Registry         : Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2022-06-01 16:45:35.838 debug 10408 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-06-01 16:45:36.148 debug 10408 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 16:45:36.199 debug 10408 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 16:45:36.204 debug 10408 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 4.513 seconds (JVM running for 6.855)
2022-06-01 16:49:55.254 debug 10408 --- [http-nio-8989-exec-3] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 16:49:55.254 debug 10408 --- [http-nio-8989-exec-3] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-01 16:49:55.260 debug 10408 --- [http-nio-8989-exec-3] o.s.web.servlet.DispatcherServlet        : Completed initialization in 6 ms
2022-06-01 16:54:23.859 debug 10408 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2022-06-01 16:57:46.150 debug 7416 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 7416 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 16:57:46.152 debug 7416 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 16:57:46.198 debug 7416 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : The Class-Path manifest attribute in D:\maven1\repository\com\mchange\c3p0\0.9.5.5\c3p0-0.9.5.5.jar referenced one or more files that do not exist: file:/D:/maven1/repository/com/mchange/c3p0/0.9.5.5/mchange-commons-java-0.2.19.jar
2022-06-01 16:57:46.198 debug 7416 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-01 16:57:46.200 debug 7416 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-01 16:57:47.133 debug 7416 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 16:57:47.141 debug 7416 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 16:57:47.142 debug 7416 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 16:57:47.197 debug 7416 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 16:57:47.198 debug 7416 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 998 ms
2022-06-01 16:57:47.330 debug 7416 --- [MLog-Init-Reporter] com.mchange.v2.log.MLog                  : MLog clients using slf4j logging.
2022-06-01 16:57:47.354 debug 7416 --- [restartedMain] com.mchange.v2.c3p0.C3P0Registry         : Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2022-06-01 16:57:47.644 debug 7416 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
